"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","129.10.58.144",,,,"User:","labuser"
"Cmdline:","dstat -tcsdmrpl --output /home/labuser/trace/MXNET-resnet.csv 1",,,,"Date:","01 Oct 2019 14:16:45 PDT"

"system","total cpu usage",,,,,,"swap",,"dsk/total",,"memory usage",,,,"io/total",,"procs",,,"load avg",,
"time","usr","sys","idl","wai","hiq","siq","used","free","read","writ","used","buff","cach","free","read","writ","run","blk","new","1m","5m","15m"
01-10 14:16:45,0.237,0.225,99.374,0.084,0.0,0.079,4730880.0,1017626624.0,1001.617,9971.787,2872774656.0,313028608.0,2761007104.0,279261184.0,0.043,0.420,0.000,0.0,0.206,3.380,3.360,3.470,
01-10 14:16:46,26.648,32.692,37.912,0.0,0.0,2.747,4730880.0,1017626624.0,0.0,40960.0,2903859200.0,313028608.0,2761039872.0,248143872.0,0.0,2.0,2.0,0.0,40.0,3.190,3.320,3.450,
01-10 14:16:47,9.524,0.366,90.110,0.0,0.0,0.0,4730880.0,1017626624.0,0.0,0.0,2906308608.0,313028608.0,2761043968.0,245690368.0,0.0,0.0,3.0,1.0,1.0,3.190,3.320,3.450,
01-10 14:16:48,51.105,28.729,15.193,0.0,0.0,4.972,4730880.0,1017626624.0,0.0,0.0,2925985792.0,313028608.0,2761039872.0,226017280.0,0.0,0.0,6.0,0.0,16.0,3.190,3.320,3.450,
01-10 14:16:49,62.250,22.250,1.0,0.0,0.0,14.500,4730880.0,1017626624.0,0.0,49152.0,2943655936.0,313028608.0,2761039872.0,208347136.0,0.0,12.0,5.0,0.0,7.0,3.190,3.320,3.450,
01-10 14:16:50,63.659,21.554,0.251,0.0,0.0,14.536,4730880.0,1017626624.0,0.0,0.0,3014602752.0,313028608.0,2761039872.0,137400320.0,0.0,0.0,8.0,0.0,5.0,3.190,3.320,3.450,
01-10 14:16:51,51.208,45.411,0.483,0.0,0.0,2.899,4730880.0,1017626624.0,0.0,0.0,3038003200.0,313028608.0,2755198976.0,119840768.0,0.0,0.0,12.0,0.0,3.0,3.420,3.370,3.470,
01-10 14:16:52,61.250,31.250,0.0,0.0,0.0,7.500,4730880.0,1017626624.0,0.0,61440.0,3040296960.0,313028608.0,2737831936.0,134914048.0,0.0,1.0,11.0,0.0,0.0,3.420,3.370,3.470,
01-10 14:16:53,41.573,43.820,7.865,0.0,0.0,6.742,4730880.0,1017626624.0,0.0,4096.0,3038691328.0,313028608.0,2737684480.0,136667136.0,0.0,1.0,8.0,0.0,1.0,3.420,3.370,3.470,
01-10 14:16:54,0.0,70.833,0.0,0.0,0.0,29.167,4730880.0,1017626624.0,0.0,0.0,3040423936.0,313028608.0,2737684480.0,134934528.0,0.0,0.0,11.0,0.0,1.0,3.420,3.370,3.470,
