"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","129.10.58.142",,,,"User:","labuser"
"Cmdline:","dstat -tcsdmrpl --output /home/labuser/trace/MXNET-alexnet.csv 1",,,,"Date:","01 Oct 2019 13:34:27 PDT"

"system","total cpu usage",,,,,,"swap",,"dsk/total",,"memory usage",,,,"io/total",,"procs",,,"load avg",,
"time","usr","sys","idl","wai","hiq","siq","used","free","read","writ","used","buff","cach","free","read","writ","run","blk","new","1m","5m","15m"
01-10 13:34:27,0.186,0.600,98.948,0.090,0.0,0.177,5976064.0,1016381440.0,1226.463,10550.370,880271360.0,358793216.0,2793979904.0,2193031168.0,0.067,0.483,0.0,0.0,0.275,1.050,1.190,1.060,
01-10 13:34:28,8.730,17.196,69.312,0.0,0.0,4.762,5976064.0,1016381440.0,0.0,0.0,902107136.0,358793216.0,2793988096.0,2171187200.0,0.0,0.0,3.0,0.0,15.0,1.050,1.190,1.060,
01-10 13:34:29,33.799,41.061,16.201,0.0,0.0,8.939,5976064.0,1016381440.0,0.0,0.0,1011367936.0,358793216.0,2794008576.0,2061905920.0,0.0,0.0,3.0,0.0,27.0,1.050,1.190,1.060,
01-10 13:34:30,26.750,17.750,53.750,0.0,0.0,1.750,5976064.0,1016381440.0,0.0,0.0,1010077696.0,358793216.0,2794008576.0,2063196160.0,0.0,0.0,1.0,0.0,16.0,1.050,1.190,1.060,
01-10 13:34:31,3.275,1.511,93.703,0.0,0.0,1.511,5976064.0,1016381440.0,0.0,0.0,1021607936.0,358793216.0,2794012672.0,2051661824.0,0.0,0.0,1.0,0.0,4.0,0.970,1.170,1.050,
01-10 13:34:32,0.0,0.254,98.219,0.0,0.0,1.527,5976064.0,1016381440.0,0.0,1122304.0,1020440576.0,358793216.0,2794012672.0,2052829184.0,0.0,4.0,0.0,0.0,0.0,0.970,1.170,1.050,
01-10 13:34:33,0.0,0.253,98.990,0.0,0.0,0.758,5976064.0,1016381440.0,0.0,0.0,1021112320.0,358793216.0,2794012672.0,2052157440.0,0.0,0.0,0.0,0.0,0.0,0.970,1.170,1.050,
01-10 13:34:34,0.0,0.0,98.734,0.0,0.0,1.266,5976064.0,1016381440.0,0.0,0.0,1020563456.0,358793216.0,2794012672.0,2052706304.0,0.0,0.0,0.0,0.0,0.0,0.970,1.170,1.050,
01-10 13:34:35,0.251,0.251,98.246,0.0,0.0,1.253,5976064.0,1016381440.0,0.0,0.0,1021186048.0,358793216.0,2794012672.0,2052083712.0,0.0,0.0,0.0,0.0,0.0,0.970,1.170,1.050,
01-10 13:34:36,0.0,0.505,98.232,0.0,0.0,1.263,5976064.0,1016381440.0,0.0,0.0,1020366848.0,358793216.0,2794012672.0,2052902912.0,0.0,0.0,0.0,0.0,0.0,0.890,1.150,1.050,
