"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","129.10.58.143",,,,"User:","labuser"
"Cmdline:","dstat -tcsdmrpl --output /home/labuser/trace/MXNET-Inception3.csv 1",,,,"Date:","01 Oct 2019 13:57:29 PDT"

"system","total cpu usage",,,,,,"swap",,"dsk/total",,"memory usage",,,,"io/total",,"procs",,,"load avg",,
"time","usr","sys","idl","wai","hiq","siq","used","free","read","writ","used","buff","cach","free","read","writ","run","blk","new","1m","5m","15m"
01-10 13:57:29,0.226,0.230,99.377,0.092,0.0,0.075,4161536.0,1018195968.0,1344.645,10667.613,1753157632.0,324780032.0,2797875200.0,1350262784.0,0.079,0.468,0.000,0.0,0.288,2.260,3.360,3.250,
01-10 13:57:30,48.187,10.363,37.824,0.0,0.0,3.627,4161536.0,1018195968.0,0.0,0.0,1774227456.0,324780032.0,2797883392.0,1329184768.0,0.0,0.0,2.0,0.0,0.0,2.260,3.360,3.250,
01-10 13:57:31,15.927,36.554,30.809,2.089,0.0,14.621,4161536.0,1018195968.0,8192.0,0.0,1826791424.0,324780032.0,2797920256.0,1276583936.0,1.0,0.0,5.0,0.0,33.0,2.260,3.360,3.250,
01-10 13:57:32,51.768,22.222,14.646,3.283,0.0,8.081,4161536.0,1018195968.0,286720.0,0.0,1817247744.0,324780032.0,2798206976.0,1285840896.0,5.0,0.0,5.0,0.0,20.0,2.320,3.360,3.250,
01-10 13:57:33,67.176,19.338,4.071,0.0,0.0,9.415,4161536.0,1018195968.0,0.0,0.0,1842335744.0,324780032.0,2798206976.0,1260752896.0,0.0,0.0,4.0,0.0,3.0,2.320,3.360,3.250,
01-10 13:57:34,26.615,28.941,25.840,3.876,0.0,14.729,4161536.0,1018195968.0,45056.0,0.0,1804435456.0,324780032.0,2798252032.0,1298608128.0,1.0,0.0,2.0,0.0,5.0,2.320,3.360,3.250,
01-10 13:57:35,46.310,11.959,38.168,0.0,0.0,3.562,4161536.0,1018195968.0,0.0,98304.0,1824514048.0,324780032.0,2798252032.0,1278529536.0,0.0,2.0,3.0,0.0,1.0,2.320,3.360,3.250,
01-10 13:57:36,40.360,22.108,29.306,0.0,0.0,8.226,4161536.0,1018195968.0,0.0,0.0,1812414464.0,324780032.0,2798252032.0,1290629120.0,0.0,0.0,2.0,0.0,1.0,2.320,3.360,3.250,
01-10 13:57:37,14.844,58.984,10.938,0.0,0.0,15.234,4161536.0,1018195968.0,0.0,0.0,2201473024.0,324780032.0,2798252032.0,901570560.0,0.0,0.0,6.0,0.0,12.0,2.290,3.330,3.240,
01-10 13:57:38,39.655,47.931,0.345,0.0,0.0,12.069,4161536.0,1018195968.0,0.0,0.0,2400825344.0,324780032.0,2798252032.0,702218240.0,0.0,0.0,7.0,0.0,1.0,2.290,3.330,3.240,
