"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","129.10.58.142",,,,"User:","labuser"
"Cmdline:","dstat -tcsdmrpl --output /home/labuser/trace/MXNET-Inception3.csv 1",,,,"Date:","01 Oct 2019 13:57:29 PDT"

"system","total cpu usage",,,,,,"swap",,"dsk/total",,"memory usage",,,,"io/total",,"procs",,,"load avg",,
"time","usr","sys","idl","wai","hiq","siq","used","free","read","writ","used","buff","cach","free","read","writ","run","blk","new","1m","5m","15m"
01-10 13:57:29,0.190,0.611,98.926,0.090,0.0,0.183,5976064.0,1016381440.0,1225.706,10547.056,873254912.0,358797312.0,2794225664.0,2199797760.0,0.067,0.483,0.0,0.0,0.275,0.750,1.120,1.210,
01-10 13:57:30,5.928,14.948,71.649,0.0,0.0,7.474,5976064.0,1016381440.0,0.0,0.0,901664768.0,358797312.0,2794258432.0,2171355136.0,0.0,0.0,2.0,0.0,0.0,0.750,1.120,1.210,
01-10 13:57:31,13.386,27.297,45.407,0.0,0.0,13.911,5976064.0,1016381440.0,0.0,0.0,935219200.0,358797312.0,2794287104.0,2137772032.0,0.0,0.0,7.0,0.0,33.0,0.750,1.120,1.210,
01-10 13:57:32,29.255,26.064,37.766,0.0,0.0,6.915,5976064.0,1016381440.0,0.0,0.0,910680064.0,358797312.0,2794287104.0,2162311168.0,0.0,0.0,1.0,0.0,20.0,0.930,1.150,1.220,
01-10 13:57:33,26.329,23.291,39.747,0.0,0.0,10.633,5976064.0,1016381440.0,0.0,0.0,972468224.0,358797312.0,2794287104.0,2100523008.0,0.0,0.0,2.0,0.0,7.0,0.930,1.150,1.220,
01-10 13:57:34,10.026,27.763,43.702,0.771,0.0,17.738,5976064.0,1016381440.0,0.0,94208.0,968122368.0,358797312.0,2794287104.0,2104868864.0,0.0,2.0,2.0,0.0,0.0,0.930,1.150,1.220,
01-10 13:57:35,1.018,11.705,76.845,0.0,0.0,10.433,5976064.0,1016381440.0,0.0,0.0,975675392.0,358797312.0,2794287104.0,2097315840.0,0.0,0.0,2.0,0.0,0.0,0.930,1.150,1.220,
01-10 13:57:36,9.044,18.863,59.690,0.0,0.0,12.403,5976064.0,1016381440.0,0.0,0.0,934502400.0,358797312.0,2794287104.0,2138488832.0,0.0,0.0,0.0,0.0,0.0,0.930,1.150,1.220,
01-10 13:57:37,5.699,16.580,66.839,0.0,0.0,10.881,5976064.0,1016381440.0,0.0,0.0,1024307200.0,358797312.0,2794287104.0,2048684032.0,0.0,0.0,1.0,0.0,1.0,1.020,1.160,1.230,
01-10 13:57:38,0.258,2.326,92.765,0.0,0.0,4.651,5976064.0,1016381440.0,0.0,0.0,988540928.0,358797312.0,2794287104.0,2084450304.0,0.0,0.0,0.0,0.0,0.0,1.020,1.160,1.230,
01-10 13:57:39,0.253,0.0,99.747,0.0,0.0,0.0,5976064.0,1016381440.0,0.0,0.0,989589504.0,358797312.0,2794287104.0,2083401728.0,0.0,0.0,0.0,0.0,0.0,1.020,1.160,1.230,
01-10 13:57:40,3.299,10.660,80.711,0.254,0.0,5.076,5976064.0,1016381440.0,0.0,12288.0,990674944.0,358797312.0,2794287104.0,2082316288.0,0.0,2.0,1.0,0.0,0.0,1.020,1.160,1.230,
01-10 13:57:41,3.817,11.959,81.170,0.0,0.0,3.053,5976064.0,1016381440.0,0.0,0.0,938823680.0,358797312.0,2794287104.0,2134167552.0,0.0,0.0,1.0,0.0,0.0,1.020,1.160,1.230,
01-10 13:57:42,4.700,11.749,79.112,0.261,0.0,4.178,5976064.0,1016381440.0,0.0,0.0,975556608.0,358797312.0,2794287104.0,2097434624.0,0.0,0.0,2.0,0.0,1.0,1.020,1.160,1.230,
01-10 13:57:43,7.712,23.393,60.668,0.0,0.0,8.226,5976064.0,1016381440.0,0.0,16384.0,939429888.0,358797312.0,2794287104.0,2133561344.0,0.0,2.0,2.0,0.0,1.0,1.020,1.160,1.230,
01-10 13:57:44,2.273,13.384,80.303,0.0,0.0,4.040,5976064.0,1016381440.0,0.0,0.0,966057984.0,358797312.0,2794287104.0,2106933248.0,0.0,0.0,0.0,0.0,0.0,1.020,1.160,1.230,
01-10 13:57:45,8.533,20.800,65.867,0.0,0.0,4.800,5976064.0,1016381440.0,0.0,0.0,975364096.0,358797312.0,2794287104.0,2097627136.0,0.0,0.0,3.0,0.0,0.0,1.020,1.160,1.230,
01-10 13:57:46,6.631,27.056,55.438,0.0,0.0,10.875,5976064.0,1016381440.0,0.0,45056.0,949813248.0,358797312.0,2794287104.0,2123177984.0,0.0,2.0,2.0,0.0,0.0,1.020,1.160,1.230,
01-10 13:57:47,9.974,29.156,46.803,0.0,0.0,14.066,5976064.0,1016381440.0,0.0,0.0,984317952.0,358797312.0,2794287104.0,2088673280.0,0.0,0.0,3.0,0.0,1.0,1.100,1.170,1.230,
01-10 13:57:48,12.432,32.973,40.270,0.0,0.0,14.324,5976064.0,1016381440.0,0.0,106496.0,990568448.0,358797312.0,2794287104.0,2082422784.0,0.0,25.0,1.0,0.0,0.0,1.100,1.170,1.230,
01-10 13:57:49,11.813,31.319,39.011,0.0,0.0,17.857,5976064.0,1016381440.0,0.0,0.0,1172090880.0,358797312.0,2794287104.0,1900900352.0,0.0,0.0,2.0,0.0,0.0,1.100,1.170,1.230,
01-10 13:57:50,1.796,9.581,82.635,0.0,0.0,5.988,5976064.0,1016381440.0,0.0,0.0,1174245376.0,358797312.0,2794291200.0,1898741760.0,0.0,0.0,3.0,0.0,0.0,1.100,1.170,1.230,
01-10 13:57:51,0.733,4.029,76.190,0.0,0.0,19.048,5976064.0,1016381440.0,0.0,0.0,1152339968.0,358797312.0,2794291200.0,1920647168.0,0.0,0.0,1.0,0.0,0.0,1.100,1.170,1.230,
01-10 13:57:52,4.800,13.600,73.067,0.0,0.0,8.533,5976064.0,1016381440.0,0.0,12288.0,1112461312.0,358797312.0,2794291200.0,1960525824.0,0.0,2.0,4.0,0.0,0.0,1.010,1.150,1.220,
01-10 13:57:53,14.286,40.816,37.318,0.0,0.0,7.580,5976064.0,1016381440.0,0.0,0.0,1152897024.0,358797312.0,2794291200.0,1920090112.0,0.0,0.0,2.0,0.0,0.0,1.010,1.150,1.220,
01-10 13:57:54,14.660,30.628,35.602,0.262,0.0,18.848,5976064.0,1016381440.0,0.0,0.0,1287282688.0,358797312.0,2794291200.0,1785704448.0,0.0,0.0,3.0,0.0,0.0,1.010,1.150,1.220,
01-10 13:57:55,5.208,19.792,61.458,0.0,0.0,13.542,5976064.0,1016381440.0,0.0,0.0,1230188544.0,358797312.0,2794291200.0,1842798592.0,0.0,0.0,4.0,0.0,0.0,1.010,1.150,1.220,
01-10 13:57:56,10.667,27.733,42.133,1.067,0.0,18.400,5976064.0,1016381440.0,0.0,0.0,1203400704.0,358797312.0,2794291200.0,1869586432.0,0.0,0.0,3.0,0.0,0.0,1.010,1.150,1.220,
01-10 13:57:57,11.622,23.514,45.946,0.0,0.0,18.919,5976064.0,1016381440.0,0.0,0.0,1296855040.0,358797312.0,2794291200.0,1776132096.0,0.0,0.0,2.0,0.0,0.0,1.010,1.150,1.220,
01-10 13:57:58,5.985,25.436,42.893,0.0,0.0,25.686,5976064.0,1016381440.0,0.0,12288.0,1186856960.0,358797312.0,2794291200.0,1886130176.0,0.0,2.0,3.0,0.0,1.0,1.010,1.150,1.220,
01-10 13:57:59,11.406,28.647,46.684,0.0,0.0,13.263,5976064.0,1016381440.0,0.0,0.0,1235034112.0,358797312.0,2794291200.0,1837953024.0,0.0,0.0,1.0,0.0,0.0,1.010,1.150,1.220,
01-10 13:58:00,8.223,25.995,55.703,0.0,0.0,10.080,5976064.0,1016381440.0,0.0,0.0,1204035584.0,358797312.0,2794291200.0,1868951552.0,0.0,0.0,3.0,0.0,0.0,1.010,1.150,1.220,
01-10 13:58:01,16.880,36.061,27.877,0.0,0.0,19.182,5976064.0,1016381440.0,0.0,0.0,1291321344.0,358797312.0,2794291200.0,1781665792.0,0.0,0.0,1.0,0.0,0.0,1.010,1.150,1.220,
01-10 13:58:02,2.100,11.024,66.404,0.0,0.0,20.472,5976064.0,1016381440.0,0.0,0.0,1178984448.0,358797312.0,2794291200.0,1894002688.0,0.0,0.0,1.0,0.0,0.0,0.930,1.130,1.220,
01-10 13:58:03,10.818,26.649,58.311,0.0,0.0,4.222,5976064.0,1016381440.0,0.0,12288.0,1194328064.0,358797312.0,2794291200.0,1878659072.0,0.0,2.0,2.0,0.0,0.0,0.930,1.130,1.220,
01-10 13:58:04,12.332,37.265,32.440,0.0,0.0,17.962,5976064.0,1016381440.0,0.0,12288.0,1281523712.0,358797312.0,2794291200.0,1791463424.0,0.0,2.0,3.0,0.0,0.0,0.930,1.130,1.220,
01-10 13:58:05,15.857,35.038,23.785,0.0,0.0,25.320,5976064.0,1016381440.0,0.0,0.0,1283297280.0,358797312.0,2794291200.0,1789689856.0,0.0,0.0,3.0,0.0,0.0,0.930,1.130,1.220,
01-10 13:58:06,2.821,13.846,61.538,0.0,0.0,21.795,5976064.0,1016381440.0,0.0,0.0,1203957760.0,358797312.0,2794291200.0,1869029376.0,0.0,0.0,1.0,0.0,0.0,0.930,1.130,1.220,
01-10 13:58:07,6.631,19.098,68.435,0.0,0.0,5.836,5976064.0,1016381440.0,0.0,0.0,1189146624.0,358797312.0,2794291200.0,1883840512.0,0.0,0.0,4.0,0.0,0.0,0.850,1.110,1.210,
