"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","129.10.58.142",,,,"User:","labuser"
"Cmdline:","dstat -tcsdmrpl --output /home/labuser/trace/MXNET-cifar10.csv 1",,,,"Date:","30 Sep 2019 13:44:26 PDT"

"system","total cpu usage",,,,,,"swap",,"dsk/total",,"memory usage",,,,"io/total",,"procs",,,"load avg",,
"time","usr","sys","idl","wai","hiq","siq","used","free","read","writ","used","buff","cach","free","read","writ","run","blk","new","1m","5m","15m"
30-09 13:44:35,0.181,0.592,98.967,0.090,0.0,0.170,5976064.0,1016381440.0,1273.149,10592.443,605851648.0,358375424.0,2775416832.0,2486431744.0,0.070,0.488,0.000,0.0,0.276,0.470,0.540,0.630,
30-09 13:44:36,29.177,7.232,63.591,0.0,0.0,0.0,5976064.0,1016381440.0,0.0,0.0,622993408.0,358375424.0,2775429120.0,2469277696.0,0.0,0.0,1.0,0.0,14.0,0.470,0.540,0.630,
30-09 13:44:37,12.0,8.500,78.250,1.250,0.0,0.0,5976064.0,1016381440.0,0.0,0.0,645873664.0,358375424.0,2775429120.0,2446397440.0,0.0,0.0,0.0,1.0,8.0,0.430,0.530,0.620,
30-09 13:44:38,0.0,0.250,99.750,0.0,0.0,0.0,5976064.0,1016381440.0,0.0,0.0,645873664.0,358375424.0,2775429120.0,2446397440.0,0.0,0.0,1.0,0.0,0.0,0.430,0.530,0.620,
30-09 13:44:39,0.0,0.0,96.241,3.759,0.0,0.0,5976064.0,1016381440.0,237568.0,0.0,646176768.0,358375424.0,2775666688.0,2445856768.0,3.0,0.0,0.0,0.0,1.0,0.430,0.530,0.620,
30-09 13:44:40,0.250,0.0,99.750,0.0,0.0,0.0,5976064.0,1016381440.0,0.0,0.0,646176768.0,358375424.0,2775666688.0,2445856768.0,0.0,0.0,0.0,0.0,0.0,0.430,0.530,0.620,
30-09 13:44:41,0.249,0.249,99.501,0.0,0.0,0.0,5976064.0,1016381440.0,0.0,36864.0,646176768.0,358375424.0,2775666688.0,2445856768.0,0.0,2.0,0.0,0.0,0.0,0.430,0.530,0.620,
30-09 13:44:42,0.0,0.0,100.0,0.0,0.0,0.0,5976064.0,1016381440.0,0.0,0.0,646176768.0,358375424.0,2775666688.0,2445856768.0,0.0,0.0,0.0,0.0,0.0,0.400,0.520,0.620,
30-09 13:44:43,0.0,0.0,100.0,0.0,0.0,0.0,5976064.0,1016381440.0,0.0,0.0,646176768.0,358375424.0,2775666688.0,2445856768.0,0.0,0.0,0.0,0.0,0.0,0.400,0.520,0.620,
30-09 13:44:44,0.251,0.251,99.499,0.0,0.0,0.0,5976064.0,1016381440.0,0.0,0.0,646180864.0,358375424.0,2775670784.0,2445848576.0,0.0,0.0,0.0,0.0,1.0,0.400,0.520,0.620,
30-09 13:44:45,0.0,0.0,100.0,0.0,0.0,0.0,5976064.0,1016381440.0,0.0,0.0,646172672.0,358375424.0,2775670784.0,2445856768.0,0.0,0.0,0.0,0.0,0.0,0.400,0.520,0.620,
30-09 13:44:46,0.0,0.0,100.0,0.0,0.0,0.0,5976064.0,1016381440.0,0.0,0.0,646172672.0,358375424.0,2775670784.0,2445856768.0,0.0,0.0,0.0,0.0,0.0,0.400,0.520,0.620,
30-09 13:44:47,0.250,0.0,99.750,0.0,0.0,0.0,5976064.0,1016381440.0,0.0,12288.0,646172672.0,358375424.0,2775670784.0,2445856768.0,0.0,2.0,0.0,0.0,0.0,0.370,0.510,0.620,
30-09 13:44:48,0.250,0.250,99.500,0.0,0.0,0.0,5976064.0,1016381440.0,0.0,0.0,646303744.0,358375424.0,2775666688.0,2445729792.0,0.0,0.0,0.0,0.0,0.0,0.370,0.510,0.620,
30-09 13:44:49,0.0,0.0,100.0,0.0,0.0,0.0,5976064.0,1016381440.0,0.0,0.0,646303744.0,358375424.0,2775666688.0,2445729792.0,0.0,0.0,0.0,0.0,0.0,0.370,0.510,0.620,
30-09 13:44:50,0.0,0.0,100.0,0.0,0.0,0.0,5976064.0,1016381440.0,0.0,0.0,646303744.0,358375424.0,2775666688.0,2445729792.0,0.0,0.0,0.0,0.0,0.0,0.370,0.510,0.620,
30-09 13:44:51,0.0,0.0,100.0,0.0,0.0,0.0,5976064.0,1016381440.0,0.0,0.0,646303744.0,358375424.0,2775666688.0,2445729792.0,0.0,0.0,0.0,0.0,0.0,0.370,0.510,0.620,
30-09 13:44:52,0.0,0.0,99.750,0.250,0.0,0.0,5976064.0,1016381440.0,0.0,0.0,646303744.0,358375424.0,2775666688.0,2445729792.0,0.0,0.0,0.0,0.0,0.0,0.340,0.500,0.610,
30-09 13:44:53,0.0,0.0,100.0,0.0,0.0,0.0,5976064.0,1016381440.0,0.0,102400.0,646299648.0,358375424.0,2775670784.0,2445729792.0,0.0,23.0,0.0,0.0,0.0,0.340,0.500,0.610,
30-09 13:44:54,0.0,0.0,100.0,0.0,0.0,0.0,5976064.0,1016381440.0,0.0,0.0,646299648.0,358375424.0,2775670784.0,2445729792.0,0.0,0.0,0.0,0.0,0.0,0.340,0.500,0.610,
30-09 13:44:55,0.750,0.250,99.0,0.0,0.0,0.0,5976064.0,1016381440.0,0.0,0.0,647204864.0,358375424.0,2775670784.0,2444824576.0,0.0,0.0,0.0,0.0,2.0,0.340,0.500,0.610,
