"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","129.10.58.144",,,,"User:","labuser"
"Cmdline:","dstat -tcsdmrpl --output /home/labuser/trace/MXNET-vgg16.csv 1",,,,"Date:","01 Oct 2019 13:06:55 PDT"

"system","total cpu usage",,,,,,"swap",,"dsk/total",,"memory usage",,,,"io/total",,"procs",,,"load avg",,
"time","usr","sys","idl","wai","hiq","siq","used","free","read","writ","used","buff","cach","free","read","writ","run","blk","new","1m","5m","15m"
01-10 13:06:55,0.171,0.192,99.494,0.084,0.0,0.060,4468736.0,1017888768.0,999.553,9919.100,620380160.0,344104960.0,2780200960.0,2481385472.0,0.043,0.419,0.000,0.0,0.205,0.010,0.030,0.0,
01-10 13:06:56,29.769,26.301,43.353,0.0,0.0,0.578,4468736.0,1017888768.0,0.0,0.0,666365952.0,344104960.0,2780237824.0,2435362816.0,0.0,0.0,3.0,0.0,42.0,0.010,0.030,0.0,
01-10 13:06:57,28.462,5.641,65.641,0.0,0.0,0.256,4468736.0,1017888768.0,0.0,4096.0,651251712.0,344104960.0,2780241920.0,2450472960.0,0.0,1.0,1.0,0.0,19.0,0.090,0.050,0.010,
01-10 13:06:58,11.558,13.317,75.126,0.0,0.0,0.0,4468736.0,1017888768.0,0.0,0.0,680710144.0,344104960.0,2780241920.0,2421014528.0,0.0,0.0,0.0,0.0,8.0,0.090,0.050,0.010,
01-10 13:06:59,0.0,0.251,99.749,0.0,0.0,0.0,4468736.0,1017888768.0,0.0,0.0,680710144.0,344104960.0,2780241920.0,2421014528.0,0.0,0.0,0.0,0.0,0.0,0.090,0.050,0.010,
01-10 13:07:00,0.0,0.501,99.499,0.0,0.0,0.0,4468736.0,1017888768.0,0.0,225280.0,680255488.0,344104960.0,2780241920.0,2421469184.0,0.0,2.0,1.0,0.0,0.0,0.090,0.050,0.010,
01-10 13:07:01,0.500,0.500,99.0,0.0,0.0,0.0,4468736.0,1017888768.0,0.0,0.0,680869888.0,344104960.0,2780241920.0,2420854784.0,0.0,0.0,0.0,0.0,2.0,0.090,0.050,0.010,
01-10 13:07:02,0.0,0.251,99.749,0.0,0.0,0.0,4468736.0,1017888768.0,0.0,0.0,681091072.0,344104960.0,2780241920.0,2420633600.0,0.0,0.0,0.0,0.0,0.0,0.080,0.050,0.0,
01-10 13:07:03,0.0,0.0,100.0,0.0,0.0,0.0,4468736.0,1017888768.0,0.0,0.0,681091072.0,344104960.0,2780241920.0,2420633600.0,0.0,0.0,0.0,0.0,0.0,0.080,0.050,0.0,
01-10 13:07:04,0.501,0.501,98.997,0.0,0.0,0.0,4468736.0,1017888768.0,0.0,0.0,680996864.0,344104960.0,2780241920.0,2420727808.0,0.0,0.0,1.0,0.0,2.0,0.080,0.050,0.0,
